,Unnamed: 0.1,Unnamed: 0,Name,Author,num_page,Language,User_rating,rating_num,Reviews,Genre_1,Genre_2,Genre_3,Year,Publisher,book_url
1842,,,The Sneetches and Other Stories,Dr. Seuss,68,English,4.31,"65,033","1,064",Childrens,Picture Books,Fiction,1961,HarperCollins Publishers,https://www.goodreads.com//book/show/105549.The_Sneetches_and_Other_Stories
1843,,,The King's Men,Nora Sakavic,556,English,4.58,"52,158","7,675",LGBT,Contemporary,Young Adult,2014,,https://www.goodreads.com//book/show/23594461-the-king-s-men
1844,,,Beyond the Shadows,Brent Weeks,689,English,4.27,"95,465","2,416",Fantasy,Fiction,Epic Fantasy,2008,Orbit,https://www.goodreads.com//book/show/3754026-beyond-the-shadows
1845,,,Finnikin of the Rock,Melina Marchetta,416,English,3.90,"43,363","4,582",Fantasy,Young Adult,Romance,2008,Viking Australia,https://www.goodreads.com//book/show/4932435-finnikin-of-the-rock
1846,,,Lord Jim,Joseph Conrad,455,English,3.62,"30,079","1,586",Classics,Fiction,Literature,1899,Broadview Press Inc,https://www.goodreads.com//book/show/12194.Lord_Jim
1847,,,Wild Magic,Tamora Pierce,362,English,4.31,"78,157","2,423",Fantasy,Young Adult,Fiction,1992,Simon Pulse,https://www.goodreads.com//book/show/13836.Wild_Magic
1848,,,The Sweet Far Thing,Libba Bray,819,English,3.97,"69,938","3,970",Fantasy,Young Adult,Historical Fiction,2007,Delacorte Press,https://www.goodreads.com//book/show/127459.The_Sweet_Far_Thing
1849,,,These Happy Golden Years,Laura Ingalls Wilder,289,English,4.20,"72,818","1,713",Classics,Historical Fiction,Childrens,1943,Harper \u0026 Row,https://www.goodreads.com//book/show/77770.These_Happy_Golden_Years
1850,,,"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth",M. Scott Peck,320,English,4.07,"95,283","2,991",Psychology,Nonfiction,Self Help,1978,Simon \u0026 Schuster,https://www.goodreads.com//book/show/347852.The_Road_Less_Traveled
1851,,,The Cadaver Factory,Kenneth Jarrett Singleton,51,English,4.31,253,2,Fiction,Horror,Contemporary,2004,PublishAmerica,https://www.goodreads.com//book/show/7510368-the-cadaver-factory
1852,,,Better Than the Movies,Lynn Painter,356,English,4.30,"157,932","29,217",Romance,Young Adult,Contemporary,2021,Simon \u0026 Schuster Books for Young Readers,https://www.goodreads.com//book/show/55710822-better-than-the-movies
1853,,,"So Long, and Thanks for All the Fish",Douglas Adams,225,English,4.09,"165,387","3,679",Science Fiction,Fiction,Humor,1984,Del Rey,https://www.goodreads.com//book/show/6091075-so-long-and-thanks-for-all-the-fish
1854,,,The Husband's Secret,Liane Moriarty,396,English,3.95,"640,876","40,392",Fiction,Mystery,Chick Lit,2015,Berkley,https://www.goodreads.com//book/show/17802724-the-husband-s-secret
1855,,,Explosion in Paris,Linda Masemore Pirrung,408,English,3.56,"2,500",98,Romance,Chick Lit,Adult,2009,iUniverse,https://www.goodreads.com//book/show/6447501-explosion-in-paris
1856,,,"Fruits Basket, Vol. 1",Natsuki Takaya,216,English,4.28,"182,676","2,323",Manga,Fantasy,Graphic Novels,1999,TokyoPop Inc,https://www.goodreads.com//book/show/271199.Fruits_Basket_Vol_1
1857,,,The Tea Rose,Jennifer Donnelly,675,English,4.21,"36,859","3,316",Historical Fiction,Romance,Fiction,2002,Harper Collins Ltd,https://www.goodreads.com//book/show/261331.The_Tea_Rose
1858,,,The Andromeda Strain,Michael Crichton,327,English,3.91,"247,902","5,364",Science Fiction,Fiction,Thriller,1969,Avon,https://www.goodreads.com//book/show/7670.The_Andromeda_Strain
1859,,,Faith of the Fallen,Terry Goodkind,785,English,4.10,"70,777","1,254",Fantasy,Fiction,Epic Fantasy,2001,Tor,https://www.goodreads.com//book/show/121127.Faith_of_the_Fallen
